Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Drake,"108,263,421,983","74,425,623,612","40,955,938,508","33,837,798,371","41,095,990","28,276,202","15,095,534","12,819,788",487,308,191,179
Bebe Rexha,"15,357,436,987","5,369,228,556","2,565,483,034","9,988,208,431","3,608,825","853,425","348,417","2,755,400",214,104,52,110
50 Cent,"15,388,486,578","10,712,323,392","6,375,775,679","4,676,163,186","8,204,185","6,073,718","3,574,092","2,130,467",224,144,82,80
Romeo Santos,"14,915,185,470","10,238,064,645","5,878,424,727","4,677,120,825","10,128,422","5,591,034","3,743,748","4,537,388",157,133,82,24
Charlie Puth,"15,159,024,248","12,029,429,934","7,059,645,739","3,129,594,314","5,096,583","4,149,929","2,566,402","946,654",131,108,53,23
Swae Lee,"15,033,976,815","419,810,157","124,512,745","14,614,166,658","4,636,990","93,834","15,751","4,543,156",130,10,4,120
Demi Lovato,"14,814,551,154","9,811,011,456","8,557,929,483","5,003,539,698","3,225,808","2,406,915","2,043,888","818,893",296,233,200,63
A Boogie Wit da Hoodie,"14,864,722,947","9,835,534,059","5,311,058,427","5,029,188,888","3,473,132","2,568,901","1,681,064","904,231",277,169,95,108
YoungBoy Never Broke Again,"14,980,315,068","11,097,349,278","9,748,466,503","3,882,965,790","5,915,351","4,622,362","4,190,372","1,292,989",661,531,469,130
Tiësto,"15,294,270,735","11,576,720,136","2,993,497,822","3,717,550,599","6,510,234","4,238,200","1,273,099","2,272,034",709,531,144,178
Elton John,"15,450,243,171","14,055,950,368","9,811,129,539","1,394,292,803","7,368,724","7,010,321","4,921,371","358,403",776,725,620,51
Trippie Redd,"16,229,551,187","10,174,873,940","5,237,006,460","6,054,677,247","7,225,064","4,540,438","3,043,078","2,684,626",353,242,121,111
Jason Derulo,"15,600,551,080","11,875,043,598","7,165,830,828","3,725,507,482","3,508,223","2,508,594","1,544,949","999,629",264,205,99,59
Bruno Martini,"1,918,582,679","407,826,038","45,168,071","1,510,756,641","456,826","53,277","4,235","403,549",112,63,10,49
Mac Miller,"15,717,661,274","14,814,070,105","10,466,518,229","903,591,169","11,024,186","10,621,587","7,422,198","402,599",255,231,182,24
Guyon Waton,"1,242,488,618","1,064,398,098","934,898,999","178,090,520","1,312,003","1,101,932","1,003,583","210,071",50,47,41,3
Tyga,"15,900,218,732","6,890,396,520","2,602,329,626","9,009,822,212","3,718,215","1,397,659","557,794","2,320,556",420,277,168,143
Arcángel,"16,036,801,548","6,432,490,587","1,793,332,082","9,604,310,961","7,853,989","3,763,136","1,761,705","4,090,853",444,223,115,221
TJ Monterde,"989,791,732","980,648,059","905,817,050","9,143,673","1,382,466","1,378,275","1,074,515","4,191",67,66,64,1
EDX,"990,160,823","408,009,311","336,916,866","582,151,512","112,146","30,164","23,245","81,982",131,96,67,35
Maikel Delacalle,"990,258,443","622,599,111","424,070,920","367,659,332","505,707","263,560","168,306","242,147",105,64,38,41
Bresh,"990,969,289","672,683,764","88,272,031","318,285,525","521,957","305,291","77,933","216,666",58,38,14,20
Cássia Eller,"990,972,957","971,300,204","802,858,570","19,672,753","526,921","516,986","457,952","9,935",174,167,145,7
187 Strassenbande,"991,495,251","949,547,025","42,951,249","41,948,226","428,208","408,704","3,865","19,504",60,57,23,3
NOFX,"992,145,367","991,547,844","986,191,284","597,523","282,724","282,539","281,393",185,432,431,429,1
Agnes Obel,"992,171,017","992,171,017","990,099,343",0,"269,621","269,621","268,698",0,104,104,102,0
Mi Banda El Mexicano,"992,389,741","990,526,607","984,802,458","1,863,134","725,069","724,147","621,364",922,81,77,66,4
cassö,"992,611,163","977,338,909",0,"15,272,254","1,019,334","994,146",0,"25,188",16,14,0,2
Mos Def,"992,735,747","596,236,749","565,193,820","396,498,998","388,372","185,630","176,843","202,742",111,83,73,28
Tito Torbellino,"992,765,364","985,912,322","913,225,178","6,853,042","552,866","552,149","512,216",717,244,243,241,1
The Fontane Sisters,"992,949,068","497,331,020","497,331,020","495,618,048","214,123","48,771","48,771","165,352",10,7,7,3
