Artist,Listeners,Peak,Peak_Listeners
Bruno Mars,"149,816,442",1,"149,816,442"
The Weeknd,"118,285,845",1,"120,693,473"
Lady Gaga,"118,254,195",2,"118,440,946"
Billie Eilish,"105,428,891",1,"108,297,865"
Coldplay,"90,844,652",4,"96,459,910"
Bad Bunny,"88,550,105",3,"88,550,105"
Rihanna,"88,392,689",2,"88,392,689"
Taylor Swift,"87,786,409",1,"116,229,071"
Ariana Grande,"86,953,670",2,"123,700,287"
SZA,"83,545,105",9,"83,545,105"
Justin Bieber,"82,947,995",3,"104,411,890"
Kendrick Lamar,"81,321,385",8,"81,321,385"
David Guetta,"75,229,031",4,"80,447,076"
Drake,"73,696,020",3,"86,591,246"
Eminem,"73,464,920",5,"86,389,533"
Sabrina Carpenter,"72,955,263",4,"90,844,193"
ROSÉ,"71,124,800",17,"71,124,800"
Post Malone,"69,959,247",3,"98,466,468"
Ed Sheeran,"69,833,106",2,"94,810,774"
Travis Scott,"69,109,420",6,"75,422,869"
Dua Lipa,"66,236,064",3,"78,673,675"
Kanye West,"65,369,638",6,"78,581,428"
Maroon 5,"63,624,646",21,"64,519,614"
Calvin Harris,"62,869,753",13,"73,882,008"
J Balvin,"62,590,318",25,"62,590,318"
Shakira,"60,606,218",3,"82,268,835"
Imagine Dragons,"60,251,639",18,"62,801,774"
Katy Perry,"60,171,235",23,"65,618,321"
Sia,"58,800,213",8,"93,545,630"
Beyoncé,"57,559,550",6,"78,122,541"
Lana Del Rey,"57,472,625",22,"64,952,989"
Adele,"57,322,014",23,"62,764,213"
Pitbull,"57,159,268",32,"57,732,751"
Sam Smith,"57,145,086",7,"73,972,799"
Future,"56,956,860",22,"65,628,348"
KAROL G,"56,453,484",21,"63,139,763"
Miley Cyrus,"55,873,508",2,"84,140,935"
Rauw Alejandro,"55,514,929",34,"55,514,929"
Daddy Yankee,"54,539,839",22,"58,098,739"
Marshmello,"54,397,617",11,"68,947,085"
Arctic Monkeys,"54,221,591",36,"56,618,863"
Playboi Carti,"52,708,437",30,"59,047,563"
OneRepublic,"51,650,077",23,"64,167,172"
Gracie Abrams,"51,497,815",43,"51,497,815"
Elton John,"50,405,263",16,"72,669,137"
Queen,"50,384,736",29,"64,087,998"
Doja Cat,"49,832,075",5,"76,357,864"
Hozier,"49,614,175",32,"57,616,097"
Khalid,"49,475,460",28,"55,253,946"
"Tyler, The Creator","49,370,644",43,"52,930,766"
Lil Wayne,"48,976,568",51,"48,976,568"
Teddy Swims,"48,822,081",51,"48,995,145"
21 Savage,"48,580,141",17,"66,771,445"
Chris Brown,"48,038,355",25,"54,390,450"
Metro Boomin,"47,864,551",17,"64,728,517"
The Chainsmokers,"47,556,503",47,"50,559,085"
Linkin Park,"47,396,385",29,"60,369,972"
Nicki Minaj,"46,334,896",18,"65,680,733"
Olivia Rodrigo,"46,173,875",18,"64,128,148"
Halsey,"46,015,366",48,"46,266,865"
Peso Pluma,"45,672,166",27,"59,429,724"
Myke Towers,"45,537,223",48,"47,235,005"
Shawn Mendes,"45,485,354",45,"49,285,295"
Michael Jackson,"45,272,316",35,"55,663,612"
Camila Cabello,"45,126,245",57,"48,063,760"
Maluma,"44,618,482",56,"47,177,187"
Harry Styles,"44,615,094",13,"66,411,599"
One Direction,"43,515,897",26,"61,154,815"
Black Eyed Peas,"43,242,867",57,"43,242,867"
Avicii,"42,997,867",69,"42,997,867"
Arijit Singh,"42,855,032",57,"42,855,032"
The Neighbourhood,"42,540,876",62,"45,186,994"
Shreya Ghoshal,"42,276,764",73,"42,276,764"
Chappell Roan,"42,041,937",59,"46,003,960"
Benson Boone,"42,035,049",31,"60,310,612"
Feid,"41,985,837",53,"46,407,503"
Pritam,"41,640,873",75,"41,684,274"
The Kid LAROI,"40,974,469",50,"46,982,806"
Ellie Goulding,"40,487,081",51,"45,626,754"
USHER,"40,368,600",47,"51,216,038"
Selena Gomez,"40,269,679",22,"58,879,269"
Lola Young,"39,528,531",82,"39,528,531"
Tiësto,"39,066,294",38,"53,621,311"
Britney Spears,"38,910,955",48,"54,776,119"
Tate McRae,"38,446,809",26,"59,945,963"
Kesha,"38,297,204",58,"51,088,856"
Don Toliver,"38,264,031",86,"38,943,885"
Ozuna,"38,218,453",40,"51,532,028"
XXXTENTACION,"38,081,422",67,"42,898,057"
Justin Timberlake,"38,063,905",57,"46,918,730"
Madonna,"37,816,145",50,"48,192,778"
Don Omar,"37,716,658",89,"38,432,695"
50 Cent,"37,600,821",79,"40,126,544"
A.R. Rahman,"37,472,038",90,"38,262,861"
Morgan Wallen,"37,218,553",59,"46,385,773"
JENNIE,"36,696,020",85,"39,567,837"
Ne-Yo,"36,692,473",81,"39,892,671"
DJ Snake,"36,652,195",95,"37,261,803"
Grupo Frontera,"36,620,538",64,"39,234,817"
Frank Ocean,"36,584,231",97,"36,966,030"
Charlie Puth,"36,543,507",58,"42,603,508"
Gunna,"36,333,607",65,"43,236,433"
J. Cole,"36,192,587",45,"48,760,887"
Romeo Santos,"36,186,788",103,"36,189,722"
Daniel Caesar,"35,893,657",69,"44,105,561"
Anitta,"35,640,469",71,"41,361,725"
Lil Baby,"35,474,230",76,"41,194,598"
Ty Dolla $ign,"35,468,602",40,"52,532,512"
A$AP Rocky,"35,038,369",91,"38,053,171"
Cris Mj,"35,034,348",52,"49,896,640"
ABBA,"34,826,283",105,"35,949,380"
Fleetwood Mac,"34,633,527",97,"35,832,635"
Anuel AA,"34,555,649",83,"35,286,500"
P!nk,"34,482,084",68,"37,814,655"
Ava Max,"34,463,834",85,"42,954,408"
Red Hot Chili Peppers,"34,241,800",81,"39,602,017"
Sean Paul,"34,143,935",66,"38,975,847"
Juice WRLD,"34,095,587",92,"39,483,073"
Wiz Khalifa,"33,997,234",96,"37,566,246"
AC/DC,"33,939,334",77,"40,609,655"
Bebe Rexha,"33,837,230",37,"49,496,274"
Swae Lee,"33,664,019",51,"47,431,521"
JAY-Z,"33,464,735",66,"38,587,931"
Farruko,"33,453,031",64,"39,498,431"
The Police,"33,418,227",120,"34,009,217"
Kali Uchis,"33,145,756",49,"48,511,206"
The Beatles,"33,061,353",78,"37,399,629"
Sachin-Jigar,"32,739,947",126,"33,519,556"
Fuerza Regida,"32,532,399",105,"35,789,194"
Disney,"32,303,582",130,"32,303,582"
Mariah Carey,"32,164,318",5,"100,610,625"
Mark Ronson,"32,091,618",132,"32,768,567"
Pharrell Williams,"32,042,040",90,"37,520,208"
Twenty One Pilots,"31,997,316",118,"34,284,091"
Kygo,"31,829,556",95,"37,407,823"
Nirvana,"31,823,249",122,"32,994,437"
James Arthur,"31,606,989",69,"40,276,141"
Flo Rida,"31,355,878",112,"34,646,575"
Alicia Keys,"31,216,952",101,"36,467,650"
Akon,"31,200,880",128,"32,792,945"
Tom Odell,"31,144,090",87,"38,447,142"
Manuel Turizo,"31,012,762",66,"39,587,171"
Green Day,"30,961,793",96,"36,657,007"
Sexyy Red,"30,856,160",144,"30,856,160"
Snoop Dogg,"30,736,351",109,"34,236,028"
Charli xcx,"30,697,602",56,"46,491,335"
Diplo,"30,598,975",95,"34,712,763"
Bizarrap,"30,537,572",28,"54,300,662"
Bon Jovi,"30,208,256",143,"30,721,045"
Guns N' Roses,"30,202,766",135,"31,649,813"
Macklemore,"30,159,398",99,"36,292,075"
Cigarettes After Sex,"30,029,147",152,"30,119,051"
