Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Drake,108 884 859 449,74 845 911 789,41 183 001 854,34 038 947 660,43 545 949,29 442 984,14 102 965,489,308,191,181
"Tyler, The Creator",19 908 954 463,17 182 045 965,8 609 461 796,2 726 908 498,20 728 224,19 334 142,1 394 082,234,191,131,43
Camila Cabello,18 709 991 065,10 831 027 421,5 567 292 026,7 878 963 644,5 337 557,3 138 275,2 199 282,103,69,45,34
Twenty One Pilots,18 058 768 504,18 053 281 039,17 896 387 805,5 487 465,6 713 118,6 707 731,5 387,140,139,132,1
Miley Cyrus,19 982 770 989,17 223 965 764,15 200 219 400,2 758 805 225,7 724 618,6 518 248,1 206 370,232,204,158,28
Frank Ocean,19 160 604 304,15 488 184 422,14 282 085 661,3 672 419 882,13 137 868,11 248 583,1 889 285,66,46,42,20
Cardi B,19 628 937 909,9 099 292 272,3 626 696 324,10 529 645 637,4 724 704,2 272 434,2 452 270,132,68,33,64
A$AP Rocky,19 181 920 925,10 933 836 167,4 382 543 836,8 248 084 758,9 767 769,6 794 495,2 973 274,224,85,41,139
JAY-Z,19 497 239 960,10 789 286 233,2 327 899 322,8 707 953 727,8 313 285,4 357 097,3 956 188,417,291,158,126
Morgan Wallen,20 428 135 935,17 231 210 305,15 819 573 151,3 196 925 630,18 084 826,14 667 439,3 417 387,121,105,99,16
Olivia Rodrigo,20 925 103 025,20 922 947 708,19 336 409 736,2 155 317,13 383 995,13 383 925,70,55,54,31,1
Peso Pluma,21 308 390 259,11 040 209 510,1 932 005 696,10 268 180 749,23 913 880,13 794 316,10 119 564,136,93,48,43
Pitbull,18 896 026 438,13 398 514 883,1 721 840 475,5 497 511 555,10 264 601,7 534 902,2 729 699,532,327,65,205
IU,3 179 963 190,2 782 073 263,2 132 036 112,397 889 927,1 016 547,879 360,137 187,167,157,131,10
Wiz Khalifa,20 539 930 373,9 317 447 731,3 457 513 994,11 222 482 642,6 643 549,2 598 434,4 045 115,863,519,268,344
The Chainsmokers,20 520 719 909,19 659 282 110,3 421 963 374,861 437 799,6 344 208,5 594 442,749 766,265,232,48,33
José González,1 775 053 698,1 681 919 805,1 649 716 877,93 133 893,551 530,532 520,19 010,130,116,85,14
Marshmello,20 606 151 088,15 228 886 174,1 568 143 835,5 377 264 914,6 571 978,4 984 671,1 587 307,240,198,43,42
DannyLux,1 774 358 127,698 654 709,602 011 292,1 075 703 418,1 473 508,640 644,832 864,92,66,54,26
Chalino Sanchez,2 197 597 639,2 195 321 407,880 917 376,2 276 232,3 996 514,3 989 797,6 717,557,545,310,12
Christian Chávez,1 815 994 148,14 906 120,6 856 660,1 801 088 028,883 299,3 076,880 223,203,23,17,180
Patricio Rey y sus Redonditos de Ricota,1 614 411 649,1 614 411 649,1 614 411 649,0,921 434,921 434,0,116,116,116,0
Duman,1 557 316 496,1 557 316 496,1 557 316 496,0,1 234 076,1 234 076,0,143,143,143,0
María José,1 614 131 550,1 415 786 864,1 090 242 676,198 344 686,932 130,780 344,151 786,133,113,87,20
R. City,1 429 819 181,1 205 703 792,32 816 239,224 115 389,662 864,650 899,11 965,34,19,11,15
Hiphop Tamizha,1 496 473 971,1 370 042 082,299 547 475,126 431 889,1 325 218,1 207 336,117 882,165,150,53,15
Adam Lambert,1 281 416 503,1 153 791 459,1 089 733 349,127 625 044,277 400,252 244,25 156,211,165,129,46
Silvio Rodríguez,1 281 690 902,1 008 713 925,1 008 534 668,272 976 977,470 069,365 012,105 057,310,304,303,6
Manuel Carrasco,1 281 407 349,1 207 586 816,1 048 493 348,73 820 533,656 263,606 652,49 611,277,265,255,12
Gülşen,1 243 563 114,1 062 500 626,888 901 141,181 062 488,1 215 637,1 005 673,209 964,116,111,105,5
Eric Chou,1 244 115 111,1 217 799 558,1 163 890 768,26 315 553,587 532,578 949,8 583,97,95,90,2
