Artist,Listeners,Peak,Peak_Listeners
Bruno Mars,"150,477,205",1,"150,477,205"
The Weeknd,"121,949,023",1,"121,949,023"
Lady Gaga,"118,481,948",2,"118,481,948"
Billie Eilish,"104,624,801",1,"108,297,865"
Bad Bunny,"94,749,788",3,"94,749,788"
Coldplay,"92,074,348",4,"96,459,910"
Rihanna,"89,761,350",2,"89,761,350"
Taylor Swift,"86,916,365",1,"116,229,071"
SZA,"84,432,550",9,"84,432,550"
Ariana Grande,"84,403,209",2,"123,700,287"
Kendrick Lamar,"83,706,518",8,"83,706,518"
Justin Bieber,"82,322,453",3,"104,411,890"
Drake,"74,371,479",3,"86,591,246"
Eminem,"74,127,535",5,"86,389,533"
David Guetta,"73,421,896",4,"80,447,076"
Travis Scott,"72,314,591",6,"75,422,869"
Ed Sheeran,"69,809,010",2,"94,810,774"
Post Malone,"69,693,616",3,"98,466,468"
Sabrina Carpenter,"69,448,294",4,"90,844,193"
ROSÉ,"68,247,250",17,"71,124,800"
Kanye West,"66,265,213",6,"78,581,428"
Dua Lipa,"64,838,571",3,"78,673,675"
J Balvin,"64,816,591",23,"64,816,591"
Maroon 5,"64,694,829",21,"64,694,829"
Calvin Harris,"62,262,577",13,"73,882,008"
Lana Del Rey,"60,381,005",22,"64,952,989"
Imagine Dragons,"60,225,405",18,"62,801,774"
Shakira,"60,084,521",3,"82,268,835"
Katy Perry,"59,546,783",23,"65,618,321"
Adele,"58,729,220",23,"62,764,213"
Sam Smith,"58,711,652",7,"73,972,799"
Future,"58,276,057",22,"65,628,348"
Sia,"57,900,738",8,"93,545,630"
Beyoncé,"57,557,918",6,"78,122,541"
KAROL G,"55,998,969",21,"63,139,763"
Pitbull,"55,784,989",32,"57,732,751"
Rauw Alejandro,"55,709,026",34,"55,709,026"
Miley Cyrus,"55,396,954",2,"84,140,935"
Arctic Monkeys,"55,083,002",36,"56,618,863"
Marshmello,"54,492,274",11,"68,947,085"
Playboi Carti,"53,352,073",30,"59,047,563"
Daddy Yankee,"53,096,916",22,"58,098,739"
OneRepublic,"52,720,259",23,"64,167,172"
Teddy Swims,"51,315,750",44,"51,315,750"
Gracie Abrams,"51,186,912",43,"51,497,815"
Chris Brown,"50,747,419",25,"54,390,450"
21 Savage,"50,625,969",17,"66,771,445"
Lil Wayne,"50,458,109",46,"50,458,109"
Khalid,"50,233,809",28,"55,253,946"
Hozier,"50,136,084",32,"57,616,097"
"Tyler, The Creator","49,880,933",43,"52,930,766"
Doja Cat,"49,424,954",5,"76,357,864"
The Chainsmokers,"48,477,834",47,"50,559,085"
Queen,"48,473,655",29,"64,087,998"
Metro Boomin,"48,384,494",17,"64,728,517"
Elton John,"48,204,971",16,"72,669,137"
Halsey,"47,909,449",48,"47,909,449"
Linkin Park,"47,270,438",29,"60,369,972"
Olivia Rodrigo,"46,647,649",18,"64,128,148"
Nicki Minaj,"46,497,967",18,"65,680,733"
Shawn Mendes,"45,898,287",45,"49,285,295"
Peso Pluma,"45,543,543",27,"59,429,724"
Maluma,"45,349,540",56,"47,177,187"
Camila Cabello,"45,008,225",57,"48,063,760"
Michael Jackson,"44,897,127",35,"55,663,612"
Myke Towers,"44,430,881",48,"47,235,005"
Harry Styles,"44,041,254",13,"66,411,599"
One Direction,"43,484,630",26,"61,154,815"
Lola Young,"43,471,689",69,"43,471,689"
Arijit Singh,"43,391,304",57,"43,391,304"
The Neighbourhood,"43,283,915",62,"45,186,994"
Black Eyed Peas,"42,581,448",57,"43,281,556"
Avicii,"42,566,431",68,"43,468,577"
Shreya Ghoshal,"42,555,168",72,"42,555,168"
Feid,"42,067,698",53,"46,407,503"
Pritam,"41,837,881",75,"41,837,881"
Benson Boone,"41,578,021",31,"60,310,612"
Ellie Goulding,"41,530,775",51,"45,626,754"
Chappell Roan,"41,279,565",59,"46,003,960"
Tate McRae,"41,263,056",26,"59,945,963"
Selena Gomez,"40,669,205",22,"58,879,269"
The Kid LAROI,"40,228,056",50,"46,982,806"
Anitta,"39,955,330",71,"41,361,725"
USHER,"39,943,890",47,"51,216,038"
JENNIE,"39,114,897",85,"39,567,837"
Ozuna,"38,748,121",40,"51,532,028"
Tiësto,"38,585,393",38,"53,621,311"
Justin Timberlake,"38,197,354",57,"46,918,730"
Charlie Puth,"38,190,602",58,"42,603,508"
A.R. Rahman,"38,113,940",88,"38,262,861"
Don Toliver,"38,057,005",85,"38,943,885"
XXXTENTACION,"37,992,585",67,"42,898,057"
